"","horizon","age_id","scenario_id","sample","location","target_variable","value"
"216","1 wk","child","A",6,"LI","inc infection",0
"217","1 wk","child","A",7,"LI","inc infection",0
"218","1 wk","child","A",8,"LI","inc infection",0
"219","1 wk","child","A",19,"LI","inc infection",0
"220","1 wk","child","A",20,"LI","inc infection",0
"221","1 wk","child","A",21,"LI","inc infection",0
"222","1 wk","child","A",22,"LI","inc infection",0
"223","1 wk","child","A",23,"LI","inc infection",0
"224","1 wk","child","A",24,"LI","inc infection",0
"225","1 wk","child","A",25,"LI","inc infection",0
"226","1 wk","child","A",26,"LI","inc infection",0
"227","1 wk","child","A",37,"LI","inc infection",0
"228","1 wk","child","A",38,"LI","inc infection",0
"229","1 wk","child","A",39,"LI","inc infection",0
"230","1 wk","child","A",40,"LI","inc infection",0
"231","1 wk","child","A",41,"LI","inc infection",0
"232","1 wk","child","A",42,"LI","inc infection",0
"233","1 wk","child","A",43,"LI","inc infection",0
"234","1 wk","child","A",44,"LI","inc infection",0
"235","1 wk","child","A",55,"LI","inc infection",0
"236","1 wk","child","A",56,"LI","inc infection",0
"237","1 wk","child","A",57,"LI","inc infection",0
"238","1 wk","child","A",58,"LI","inc infection",0
"239","1 wk","child","A",59,"LI","inc infection",0
"240","1 wk","child","A",60,"LI","inc infection",0
"241","1 wk","child","A",61,"LI","inc infection",0
"242","1 wk","child","A",62,"LI","inc infection",0
"243","1 wk","child","A",73,"LI","inc infection",0
"244","1 wk","child","A",74,"LI","inc infection",0
"245","1 wk","child","A",75,"LI","inc infection",0
"246","1 wk","child","A",76,"LI","inc infection",0
"247","1 wk","child","A",77,"LI","inc infection",0
"248","1 wk","child","A",78,"LI","inc infection",0
"249","1 wk","child","A",79,"LI","inc infection",0
"250","1 wk","child","A",80,"LI","inc infection",0
"251","1 wk","child","B",1,"LI","inc infection",0
"252","1 wk","child","B",2,"LI","inc infection",0
"253","1 wk","child","B",3,"LI","inc infection",0
"254","1 wk","child","B",4,"LI","inc infection",0
"255","1 wk","child","B",5,"LI","inc infection",0
"256","1 wk","child","B",6,"LI","inc infection",0
"257","1 wk","child","B",7,"LI","inc infection",0
"258","1 wk","child","B",8,"LI","inc infection",0
"259","1 wk","child","B",19,"LI","inc infection",0
"260","1 wk","child","B",20,"LI","inc infection",0
"261","1 wk","child","B",21,"LI","inc infection",0
"262","1 wk","child","B",22,"LI","inc infection",0
"263","1 wk","child","B",23,"LI","inc infection",0
"264","1 wk","child","B",24,"LI","inc infection",0
"265","1 wk","child","B",25,"LI","inc infection",0
"266","1 wk","child","B",26,"LI","inc infection",0
"267","1 wk","child","B",37,"LI","inc infection",0
"268","1 wk","child","B",38,"LI","inc infection",0
"269","1 wk","child","B",39,"LI","inc infection",0
"270","1 wk","child","B",40,"LI","inc infection",0
"271","1 wk","child","B",41,"LI","inc infection",0
"272","1 wk","child","B",42,"LI","inc infection",0
"273","1 wk","child","B",43,"LI","inc infection",0
"274","1 wk","child","B",44,"LI","inc infection",0
"275","1 wk","child","B",55,"LI","inc infection",0
"276","1 wk","child","B",56,"LI","inc infection",0
"277","1 wk","child","B",57,"LI","inc infection",0
"278","1 wk","child","B",58,"LI","inc infection",0
"279","1 wk","child","B",59,"LI","inc infection",0
"280","1 wk","child","B",60,"LI","inc infection",0
"281","1 wk","child","B",61,"LI","inc infection",0
"282","1 wk","child","B",62,"LI","inc infection",0
"283","1 wk","child","B",73,"LI","inc infection",0
"284","1 wk","child","B",74,"LI","inc infection",0
"285","1 wk","child","B",75,"LI","inc infection",0
"286","1 wk","child","B",76,"LI","inc infection",0
"287","1 wk","child","B",77,"LI","inc infection",0
"288","1 wk","child","B",78,"LI","inc infection",0
"289","1 wk","child","B",79,"LI","inc infection",0
"290","1 wk","child","B",80,"LI","inc infection",0
"291","1 wk","child","C",1,"LI","inc infection",0
"292","1 wk","child","C",2,"LI","inc infection",0
"293","1 wk","child","C",3,"LI","inc infection",0
"294","1 wk","child","C",4,"LI","inc infection",0
"295","1 wk","child","C",5,"LI","inc infection",0
"296","1 wk","child","C",6,"LI","inc infection",0
"297","1 wk","child","C",7,"LI","inc infection",0
"298","1 wk","child","C",8,"LI","inc infection",0
"299","1 wk","child","C",19,"LI","inc infection",0
"300","1 wk","child","C",20,"LI","inc infection",0
"301","1 wk","child","C",21,"LI","inc infection",0
"302","1 wk","child","C",22,"LI","inc infection",0
"303","1 wk","child","C",23,"LI","inc infection",0
