sample,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
100,17075,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,27227,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,44041,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,71554,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,114767,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,177391,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,255955,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,332599,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,377852,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,371230,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,319452,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,248300,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,181074,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,128482,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,91421,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,66731,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,50746,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,40561,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,34190,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,30355,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,28257,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,27393,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,27430,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,28130,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,29297,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,30747,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,32293,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,33750,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,34947,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,35741,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,36043,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,3036,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,2067,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,1398,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,944,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,637,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,432,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,296,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,205,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,144,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,104,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,77,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,59,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,47,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,39,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,34,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,31,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,30,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,30,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,31,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,34,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,38,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,43,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,51,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,62,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,76,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,97,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,125,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,164,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,219,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,295,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,400,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,546,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,745,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,1015,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,1374,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,1843,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,2441,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,3181,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,4068,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,5090,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,6216,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,7388,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,8532,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,9558,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,10372,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,10898,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,11085,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,10920,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,10429,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,9671,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,8725,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,7677,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,3511,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,3555,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,3740,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,3950,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,4173,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,4424,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,4726,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,5114,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,5633,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,6350,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,7364,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,8831,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,11009,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,14322,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,19505,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,27849,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,41644,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,64327,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,99217,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,149553,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,213857,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,280516,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,327268,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,334293,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,301279,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,246235,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,189455,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,142538,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,108397,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,85528,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,71323,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,63557,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,60765,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,62186,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,67607,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,77153,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,90999,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,108928,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,129739,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,150740,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,167864,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,176860,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,175194,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,163335,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,144375,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,122393,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,100842,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,81818,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,66142,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,53794,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,44352,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
12,37274,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,3360,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,2795,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,2286,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,1859,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,1510,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,1232,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,1013,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,844,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,716,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,622,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,556,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,514,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,493,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,494,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,520,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,577,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,677,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,836,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,1068,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
13,1410,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
