sample,epiweek,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
100,49,332599,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,50,377852,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,51,371230,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,52,319452,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,1,248300,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,2,181074,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,3,128482,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,4,91421,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,5,66731,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,6,50746,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,7,40561,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,8,34190,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,9,30355,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,10,28257,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,11,27393,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,12,27430,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,13,28130,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,14,29297,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,15,30747,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,16,32293,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,17,33750,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,18,34947,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,19,35741,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,20,36043,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,21,3036,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,22,2067,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,23,1398,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,24,944,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,25,637,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,26,432,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,27,296,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,28,205,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,29,144,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,30,104,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,31,77,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,32,59,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,33,47,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,34,39,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,35,34,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,36,31,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,37,30,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,38,30,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,39,31,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,40,34,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,41,38,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,42,43,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,43,51,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,44,62,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,45,76,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,46,97,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,47,125,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,48,164,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,49,219,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,50,295,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,51,400,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,52,546,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,1,745,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,2,1015,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,3,1374,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,4,1843,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,5,2441,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,6,3181,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
11,7,4068,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
