"scenario_id","horizon","location","sample","target_variable","value"
"A","19 wk","DE",5,"inc dose",0
"A","20 wk","DE",5,"inc infection",2979037
"A","20 wk","DE",5,"inc dose",0
"A","21 wk","DE",5,"inc infection",2261026
"A","21 wk","DE",5,"inc dose",0
"A","22 wk","DE",5,"inc infection",1708961
"A","22 wk","DE",5,"inc dose",0
"A","23 wk","DE",5,"inc infection",1292275
"A","23 wk","DE",5,"inc dose",0
"A","24 wk","DE",5,"inc infection",997864
"A","24 wk","DE",5,"inc dose",0
"A","25 wk","DE",5,"inc infection",828278
"A","25 wk","DE",5,"inc dose",0
"A","26 wk","DE",5,"inc infection",758770
"A","26 wk","DE",5,"inc dose",0
"A","27 wk","DE",5,"inc infection",793706
"A","27 wk","DE",5,"inc dose",0
"A","28 wk","DE",5,"inc infection",838468
"A","28 wk","DE",5,"inc dose",0
"A","29 wk","DE",5,"inc infection",902518
"A","29 wk","DE",5,"inc dose",0
"A","30 wk","DE",5,"inc infection",1027706
"A","30 wk","DE",5,"inc dose",0
"A","31 wk","DE",5,"inc infection",1264617
"A","31 wk","DE",5,"inc dose",0
"A","32 wk","DE",5,"inc infection",1615798
"A","32 wk","DE",5,"inc dose",0
"A","33 wk","DE",5,"inc infection",2210805
"A","33 wk","DE",5,"inc dose",0
"A","34 wk","DE",5,"inc infection",2738851
"A","34 wk","DE",5,"inc dose",0
"A","35 wk","DE",5,"inc infection",3222862
"A","35 wk","DE",5,"inc dose",0
"A","36 wk","DE",5,"inc infection",3152990
"A","36 wk","DE",5,"inc dose",0
"A","37 wk","DE",5,"inc infection",3004511
"A","37 wk","DE",5,"inc dose",0
"A","38 wk","DE",5,"inc infection",3029621
"A","38 wk","DE",5,"inc dose",0
"A","39 wk","DE",5,"inc infection",2861127
"A","39 wk","DE",5,"inc dose",0
"A","40 wk","DE",5,"inc infection",2675893
"A","40 wk","DE",5,"inc dose",0
"A","41 wk","DE",5,"inc infection",2485199
"A","41 wk","DE",5,"inc dose",0
"A","42 wk","DE",5,"inc infection",2139841
"A","42 wk","DE",5,"inc dose",0
"A","43 wk","DE",5,"inc infection",1753723
"A","43 wk","DE",5,"inc dose",0
"A","44 wk","DE",5,"inc infection",1417099
"A","44 wk","DE",5,"inc dose",0
"B","1 wk","DE",1,"inc infection",25474
"B","1 wk","DE",1,"inc dose",0
"B","2 wk","DE",1,"inc infection",41851
"B","2 wk","DE",1,"inc dose",0
"B","3 wk","DE",1,"inc infection",48401
"B","3 wk","DE",1,"inc dose",0
"B","4 wk","DE",1,"inc infection",45490
"B","4 wk","DE",1,"inc dose",712
"B","5 wk","DE",1,"inc infection",62230
"B","5 wk","DE",1,"inc dose",0
"B","6 wk","DE",1,"inc infection",73875
"B","6 wk","DE",1,"inc dose",0
